DAY;PRICE;YIELD
0;239.61;0
1;243.33;0.015525228
2;240.7;-0.010808367
3;240.95;0.001038637
4;240.96;4.15E-05
5;243.67;0.01124668
6;249.4;0.02351541
7;247.99;-0.005653569
8;247.52;-0.001895238
9;246.19;-0.005373303
10;246.45;0.001056095
11;245.39;-0.004301075
12;246.77;0.005623701
13;245.85;-0.003728168
14;242.7;-0.012812691
15;244.13;0.005892048
16;244.87;0.003031172
17;247.2;0.009515253
18;247.05;-0.000606796
19;247.95;0.003642987
20;249.25;0.005242993
21;267.4;0.072818455
22;268.5;0.004113687
23;268.57;0.000260708
24;269.11;0.002010649
25;264.12;-0.018542603
26;261.92;-0.008329547
27;264.62;0.010308491
28;263.91;-0.002683093
29;266.91;0.011367512
30;266.23;-0.002547675
31;260.45;-0.021710551
32;260.42;-0.000115185
33;256.02;-0.016895784
34;258.5;0.009686743
35;261.14;0.010212766
36;261.15;3.83E-05
37;261.45;0.001148765
38;256.4;-0.019315357
39;259.63;0.012597504
40;260.5;0.003350922
41;266.93;0.024683301
42;265.68;-0.004682876
43;264.7;-0.003688648
44;264.85;0.000566679
45;265;0.000566358
46;267.39;0.009018868
47;264.75;-0.009873219
48;263.5;-0.004721435
49;258.79;-0.017874763
50;255.68;-0.012017466
51;256.25;0.002229349
52;262.4;0.024
53;258.18;-0.016082317
54;260;0.007049345
55;260.83;0.003192308
56;259.07;-0.00674769
57;252.72;-0.02451075
58;253.77;0.004154796
59;250.16;-0.01422548
60;251.99;0.007315318
61;252.65;0.002619152
62;255.87;0.012744904
63;256.1;0.000898894
64;257.67;0.006130418
65;260.72;0.011836846
66;258.98;-0.006673826
67;259.65;0.002587072
68;259.53;-0.000462161
69;259.38;-0.000577968
70;262.93;0.013686483
71;265.25;0.008823641
72;263;-0.008482564
73;260.21;-0.010608365
74;264.5;0.016486684
75;263.51;-0.003742911
76;268.15;0.01760844
77;270;0.006899124
78;267.9;-0.007777778
79;268.65;0.002799552
80;269.8;0.004280663
81;270.1;0.001111935
82;271.27;0.004331729
83;273.73;0.009068456
84;269.9;-0.01399189
85;269.7;-0.000741015
86;269.89;0.000704486
87;268.35;-0.005706028
88;269.68;0.004956214
89;269.06;-0.002299021
90;268.54;-0.001932654
91;273.42;0.018172339
92;273.31;-0.000402311
93;278.15;0.017708829
94;276.65;-0.005392774
95;280.19;0.012795952
96;283.97;0.013490845
97;280.87;-0.010916646
98;282.89;0.007191939
99;279.7;-0.011276468
100;281.6;0.006792992
101;282.91;0.004651989
102;282.79;-0.000424163
103;286.16;0.01191697
104;286.19;0.000104836
105;286.85;0.00230616
106;282.33;-0.015757364
107;279.91;-0.00857153
108;276.8;-0.011110714
109;277.5;0.002528902
110;273.97;-0.012720721
111;270.96;-0.010986604
112;279.62;0.031960437
113;267.58;-0.043058436
114;265.12;-0.009193512
115;265.16;0.000150875
116;256.89;-0.031188716
117;257.6;0.002763829
118;260.45;0.011063665
119;256.64;-0.014628528
120;268.21;0.045082606
121;268.4;0.0007084
122;267.35;-0.003912072
123;266.61;-0.002767907
124;265.19;-0.005326132
125;271.3;0.023040084
126;271.08;-0.00081091
127;271.9;0.003024937
128;271.08;-0.003015815
129;271.74;0.002434706
130;270.82;-0.003385589
131;274.56;0.013809911
132;274.12;-0.001602564
133;273.62;-0.001824019
134;276.76;0.011475769
135;275.28;-0.005347594
136;274.49;-0.002869805
137;275.71;0.004444606
138;275.84;0.00047151
139;275.96;0.000435035
140;276.01;0.000181186
141;278;0.007209884
142;277.07;-0.003345324
143;274.86;-0.007976324
144;274.93;0.000254675
145;275.9;0.003528171
146;273.77;-0.007720188
147;272.81;-0.003506593
148;272.65;-0.000586489
149;274.05;0.005134788
150;275.67;0.00591133
151;276;0.001197083
152;276.86;0.003115942
153;276.74;-0.000433432
154;277.84;0.00397485
155;278.67;0.002987331
156;284.41;0.02059784
157;282.17;-0.007875954
158;283.5;0.004713471
159;287.28;0.013333333
160;287.07;-0.000730994
161;289.06;0.006932107
162;290.24;0.004082197
163;288.33;-0.006580761
164;288.93;0.002080949
165;283.9;-0.017409061
166;282;-0.006692497
167;284.77;0.009822695
168;291.25;0.022755206
169;292.52;0.004360515
170;291.75;-0.002632299
171;292.19;0.001508141
172;295.38;0.010917554
173;299.17;0.01283093
174;298.4;-0.002573787
175;297.71;-0.002312332
176;300.4;0.009035639
177;299.79;-0.002030626
178;300.9;0.003702592
179;298.85;-0.006812895
180;295.83;-0.010105404
181;298.3;0.00834939
182;298.87;0.001910828
183;295.2;-0.012279586
184;295.4;0.000677507
185;295.62;0.000744753
186;292.99;-0.008896556
187;293.9;0.003105908
188;294.11;0.000714529
189;295.1;0.003366088
190;299;0.013215859
191;298.72;-0.000936455
192;300.43;0.005724424
193;300.38;-0.000166428
194;306.72;0.021106598
195;304.61;-0.006879238
196;306.1;0.004891501
197;307.75;0.005390395
198;306.76;-0.003216897
199;306.48;-0.000912766
200;306.95;0.001533542
201;307.1;0.000488679
202;307.99;0.002898079
203;308.29;0.000974058
204;306.59;-0.005514288
205;307.99;0.004566359
206;307.38;-0.001980584
207;314.99;0.024757629
208;307.39;-0.02412775
209;307.94;0.001789258
210;308.41;0.001526271
211;309;0.001913038
212;308.98;-6.47E-05
213;308.97;-3.24E-05
214;308.24;-0.002362689
215;307.37;-0.002822476
216;307.53;0.000520545
217;306.01;-0.004942607
218;308.22;0.007221986
219;311.21;0.009700863
220;313.49;0.007326243
221;314.85;0.004338256
222;318.12;0.010385898
223;319.7;0.004966679
224;322.91;0.010040663
225;323.16;0.00077421
226;321.08;-0.00643644
227;320.64;-0.001370375
228;322.93;0.007141966
229;323.54;0.001888954
230;321;-0.007850652
231;317.09;-0.012180685
232;318.22;0.003563657
233;320.38;0.006787757
234;316.63;-0.01170485
235;313.11;-0.011117077
236;310.95;-0.006898534
237;316.49;0.017816369
238;314.72;-0.005592594
239;313.08;-0.005210981
240;319.9;0.02178357
241;317.28;-0.008190059
242;317.8;0.001638931
243;317.71;-0.000283197
244;319.35;0.00516194
245;317.65;-0.005323313
246;314.34;-0.010420274
247;310.7;-0.011579818
248;314.15;0.011103959
249;314.14;-3.18E-05
250;317.25;0.009900045
251;319.8;0.008037825
252;324.55;0.014853033
253;327.16;0.008041904
254;327.15;-3.06E-05
255;327.1;-0.000152835
256;328.37;0.003882605
257;328.2;-0.000517709
258;324.66;-0.010786106
259;325;0.001047249
260;324.07;-0.002861538
261;319.99;-0.012589873
262;316.68;-0.010344073
263;295.87;-0.065713023
264;292.21;-0.012370298
265;284.38;-0.026795798
266;285.25;0.003059287
267;284.68;-0.001998247
268;289.83;0.018090488
269;289.9;0.000241521
270;294.71;0.016591928
271;294.39;-0.001085813
272;295.69;0.004415911
273;296.37;0.002299706
274;293.3;-0.010358673
275;286.58;-0.022911695
276;290;0.01193384
277;289.3;-0.002413793
278;287.21;-0.007224335
279;286.04;-0.004073674
280;275.49;-0.036882953
281;279.4;0.014192893
282;282.2;0.010021475
283;281.09;-0.003933381
284;281.44;0.001245153
285;280.74;-0.002487209
286;283.92;0.011327207
287;280.32;-0.012679628
288;278.01;-0.008240582
289;274.6;-0.012265746
290;268.17;-0.023415878
291;266.2;-0.007346086
292;266.93;0.002742299
293;261.6;-0.019967782
294;259.5;-0.008027523
295;265.39;0.022697495
296;260.5;-0.018425713
297;262.47;0.00756238
298;260.31;-0.008229512
299;254.45;-0.022511621
300;244.31;-0.039850658
301;244.04;-0.001105153
302;253.01;0.036756269
303;252.82;-0.000750958
304;254.77;0.007712997
305;263.31;0.03352043
306;261.29;-0.007671566
307;258.2;-0.011825941
308;254.93;-0.012664601
309;258.25;0.013023183
310;263.79;0.021452081
311;265.99;0.008339967
312;263.4;-0.009737208
313;264.5;0.004176158
314;269.08;0.01731569
315;273.17;0.015199941
316;272.92;-0.000915181
317;267.8;-0.018760076
318;267.88;0.00029873
319;268.07;0.000709273
320;268.49;0.001566755
321;266.29;-0.008193974
322;259.31;-0.026212024
323;264.25;0.019050557
324;264.09;-0.000605487
325;263.39;-0.002650612
326;262.4;-0.003758685
327;260.86;-0.005868902
328;259.98;-0.003373457
329;256.94;-0.011693207
330;261.28;0.016891103
331;262.03;0.002870484
332;259.5;-0.009655383
333;256.57;-0.011290944
334;257.19;0.002416495
335;258.21;0.00396594
336;255.42;-0.010805159
337;252.01;-0.01335056
338;252.64;0.002499901
339;246.35;-0.024897087
340;242.56;-0.015384615
341;242.66;0.000412269
342;241.45;-0.004986401
343;237.9;-0.014702837
344;238.03;0.000546448
345;238.97;0.003949082
346;239.23;0.001088003
347;243.6;0.01826694
348;250.93;0.030090312
349;255.98;0.020125134
350;260.73;0.018556137
351;255.77;-0.019023511
352;254.7;-0.004183446
353;249.52;-0.020337652
354;253.43;0.015670087
355;248.72;-0.018585014
356;240.59;-0.032687359
357;237.05;-0.014713829
358;240.47;0.014427336
359;236;-0.018588597
360;227.81;-0.03470339
361;223.16;-0.020411747
362;226.3;0.014070622
363;228.56;0.009986743
364;236.49;0.034695485
365;235.17;-0.005581631
366;230.8;-0.018582302
367;224.55;-0.027079723
368;233.48;0.039768426
369;237.84;0.018673976
370;237.29;-0.002312479
371;230.82;-0.027266214
372;234.19;0.014600121
373;229.02;-0.022076092
374;228.7;-0.001397258
375;225.53;-0.013860953
376;226.5;0.00430098
377;230.15;0.01611479
378;229;-0.004996741
379;257.6;0.12489083
380;264.9;0.028338509
381;264.34;-0.002114005
382;271.69;0.027805099
383;269.56;-0.007839817
384;271.2;0.006083989
385;272.83;0.006010324
386;279.43;0.024190888
387;272.25;-0.025695165
388;274.37;0.007786961
389;277;0.009585596
390;271.8;-0.018772563
391;278.77;0.025643856
392;279.8;0.003694802
393;279.85;0.000178699
394;282.77;0.010434161
395;281.8;-0.00343035
396;283.53;0.006139106
397;278.19;-0.018833986
398;281.85;0.013156476
399;280.36;-0.0052865
400;280.49;0.00046369
401;280.74;0.000891297
402;275.23;-0.019626701
403;278.35;0.011335974
404;280.36;0.007221124
405;281.97;0.005742617
406;280.73;-0.004397631
407;279.55;-0.004203327
408;277.4;-0.007690932
409;282.88;0.019754867
410;287.15;0.01509474
411;285.81;-0.004666551
412;289.94;0.014450159
413;294.06;0.014209837
414;314;0.067809291
415;310.1;-0.012420382
416;309.87;-0.000741696
417;319.5;0.031077549
418;312.95;-0.020500782
419;315.91;0.00945838
420;315.05;-0.002722294
421;314.74;-0.000983971
422;316.03;0.004098621
423;316.97;0.002974401
424;310.22;-0.021295391
425;307.1;-0.010057379
426;309.63;0.008238359
427;305.5;-0.013338501
428;316.4;0.035679214
429;313.56;-0.00897598
430;315.18;0.005166475
431;316.92;0.005520655
432;317.57;0.002050991
433;319.69;0.006675694
434;318.39;-0.004066439
435;316.37;-0.00634442
436;320.51;0.013085944
437;326.02;0.017191351
438;324.06;-0.006011901
439;325.3;0.003826452
440;324.05;-0.003842607
441;323.26;-0.002437895
442;319.47;-0.011724309
443;319.8;0.001032961
444;315.23;-0.014290181
445;311.96;-0.010373378
446;308.04;-0.012565714
447;309.72;0.005453837
448;303.24;-0.020922123
449;306.11;0.009464451
450;302.09;-0.013132534
451;285.35;-0.055413949
452;287.56;0.007744875
453;282.03;-0.019230769
454;293.4;0.04031486
455;292.46;-0.003203817
456;299.81;0.025131642
457;296.5;-0.011040326
458;297.99;0.005025295
459;300.8;0.009429847
460;304.8;0.013297872
461;300.01;-0.015715223
462;308.12;0.027032432
463;312.25;0.013403869
464;310;-0.007205765
465;310.16;0.000516129
466;316.69;0.02105365
467;314.23;-0.007767849
468;309.41;-0.015339083
469;307.8;-0.005203452
470;299.96;-0.025471085
471;294.64;-0.017735698
472;302.02;0.025047516
473;302.79;0.0025495
474;302.15;-0.002113676
475;310.81;0.028661261
476;311.24;0.001383482
477;304.21;-0.022587071
478;304.72;0.001676473
479;306.34;0.005316356
480;308.33;0.00649605
481;306.16;-0.007037914
482;303.98;-0.00712046
483;302.66;-0.004342391
484;302.22;-0.001453777
485;297.77;-0.014724373
486;298.7;0.003123216
487;308.47;0.032708403
488;306.65;-0.005900088
489;309.3;0.008641774
490;309.63;0.001066925
491;313.55;0.012660272
492;313.23;-0.001020571
493;317.96;0.015100725
494;313.13;-0.01519059
495;311.17;-0.006259381
496;308.68;-0.008002057
497;312;0.010755475
498;310.2;-0.005769231
499;311.5;0.004190845
500;313.56;0.006613162
501;313.38;-0.000574053
502;312.46;-0.002935733
503;309.7;-0.008833131
504;310.17;0.001517598
505;311.37;0.003868846
506;313.78;0.007739988
507;312.84;-0.002995729
508;315.18;0.007479862
509;316.15;0.003077606
510;318.42;0.007180136
511;319.43;0.003171911
512;319.17;-0.00081395
513;319.44;0.000845944
514;313.5;-0.018595041
515;309.71;-0.012089314
516;310.09;0.001226954
517;314.01;0.012641491
518;309.88;-0.013152447
519;317.97;0.02610688
520;319.99;0.006352801
521;321.58;0.004968905
522;327.05;0.017009764
523;309;-0.055190338
524;310.4;0.004530744
525;310.67;0.000869845
526;313.08;0.007757427
527;310.83;-0.007186662
528;308.93;-0.006112666
529;303.97;-0.016055417
530;305.26;0.00424384
531;303.3;-0.006420756
532;304.95;0.005440158
533;304.22;-0.002393835
534;307.95;0.012260864
535;307.38;-0.00185095
536;310.22;0.009239378
537;313.43;0.010347495
538;317.97;0.014484893
539;317.82;-0.000471743
540;318;0.000566358
541;317.51;-0.001540881
542;318.73;0.003842399
543;319.4;0.002102093
544;318.38;-0.003193488
545;316.5;-0.005904894
546;314.17;-0.007361769
547;309.98;-0.013336729
548;312.05;0.00667785
549;311.42;-0.002018907
550;311.79;0.001188106
551;312.78;0.003175214
552;310.82;-0.006266385
553;310.04;-0.002509491
554;309.2;-0.002709328
555;308.44;-0.002457956
556;309.49;0.003404228
557;308.74;-0.002423342
558;310.5;0.005700589
559;312.83;0.007504026
560;313.06;0.000735224
561;309.76;-0.01054111
562;307.11;-0.00855501
563;303.5;-0.011754746
564;302.48;-0.003360791
565;301.8;-0.002248083
566;304.5;0.008946322
567;301.68;-0.009261084
568;294.84;-0.022673031
569;298.05;0.010887261
570;291.6;-0.021640664
571;293.31;0.005864198
572;289.9;-0.011625925
573;291.33;0.004932735
574;287.57;-0.012906326
575;288.36;0.002747157
576;286.4;-0.006797059
577;285.22;-0.004120112
578;282.91;-0.008099011
579;290.56;0.027040402
580;293.89;0.011460628
581;281.9;-0.040797577
582;289.37;0.026498758
583;285.12;-0.014687079
584;285.39;0.00094697
585;283.3;-0.007323312
586;283.74;0.001553124
587;302.91;0.067561852
588;300.91;-0.006602621
589;304;0.010268851
590;295.47;-0.028059211
591;290.02;-0.018445189
592;291.8;0.006137508
593;287.55;-0.01456477
594;283.17;-0.015232134
595;289.46;0.022212805
596;290.5;0.003592897
597;296.12;0.019345955
598;291.89;-0.014284749
599;293.7;0.006200966
600;298.04;0.014776983
601;295.7;-0.007851295
602;294.27;-0.004835982
603;296.84;0.008733476
604;300.46;0.012195122
605;301.12;0.002196632
606;299.09;-0.006741498
607;299.09;0
608;297.44;-0.005516734
609;294.68;-0.009279182
610;299.44;0.016153115
611;304.75;0.017733102
612;307.89;0.010303527
613;306.7;-0.003865017
614;305.87;-0.002706228
615;306.6;0.002386635
616;304.96;-0.005348989
617;299.53;-0.017805614
618;304.17;0.015490936
